Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;7
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;6.31
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;5.63
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;7.46
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;10.44
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;11.38
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;11.94
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;14.24
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;16.27
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;13.17
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;9.58
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;12.59
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;13.83
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;5.09
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;5.14
Food Supply - Livestock and Fish Primary Equivalent;Bulgaria;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;4.96
